experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8103HTa	20220723 224542	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.14772819835518	0.667937062491546	644	14274	76	0.0158511902554602	-1	114209000	1
8103HTa	20220723 225522	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.172036656742566	0.636009452416329	227	5955	34	0.0151884420500609	-1	108072000	2
8103HTa	20220723 230635	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.282895906736958	0.32189820042986	680	1278	53	0.00203654530333719	-1	90820000	3
8103HTa	20220723 232459	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0697188035584986	0.57092506273184	520	16113	125	0.0157238574219044	-1	115704000	4
8103HTa	20220723 233505	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.124730248329579	0.878169579579844	856	7860	51	0.0158211990965263	-1	113338000	5
8103HTa	20220723 234311	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.240947874743142	0.95303176696907	574	11609	25	0.0177704789971869	-1	110336000	6
8103HTa	20220723 235323	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.267887728553615	0.441087651807175	204	13567	35	0.015798454991979	-1	110244000	7
8103HTa	20220724 000347	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.102309268244426	0.328058934019646	60	9208	60	0.0158972885862446	-1	115267000	8
8103HTa	20220724 001245	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.13969549293688	0.731606745810132	765	19925	76	0.0153807918631505	-1	114757000	9
8103HTa	20220724 002320	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.209817427280941	0.405840668923338	935	10309	40	0.0167169174020849	-1	109288000	10
